No. Race / Course,Course,Date,Time,Race Name,Class,Distance (f),Going,Surface,Number,Horse,age,Position,Decimal Odds,Draw,Jockey,Trainer,Weight (lbs),Beaten By,,,
,Warwick,2025-11-19,1:25,pricedup.bet Conditional Jockeys' Handicap Hurdle,Class 4,19f,Soft,Turf,6,Sweet Magic (IRE),7,4,5.5,,Tom Broughton,Alastair Ralph,150,0.1,Prominent - weakened before 2 out(op 13/2 tchd 4/1),04:45.1,https://www.rp-assets.com/svg/2/8/5/322582.svg
,Warwick,2025-11-19,1:25,pricedup.bet Conditional Jockeys' Handicap Hurdle,Class 4,19f,Soft,Turf,1,Oh My Johnny (IRE),5,5,3.75,,Callum Pritchard,Philip Hobbs & Johnson White,168,3.75,Pressed leader early - soon prominent - not fluent 3 out - weakened before 2 out(op 9/4),04:46.0,https://www.rp-assets.com/svg/6/9/6/350696.svg
,Warwick,2025-11-19,1:25,pricedup.bet Conditional Jockeys' Handicap Hurdle,Class 4,19f,Soft,Turf,5,Codetalker (GB),5,6,5.5,,Murray Dodd,Stuart Edmunds,150,3.75,Took keen hold - in touch with leaders - dropped to last and weakened before 2 out(op 15/2),04:46.9,https://www.rp-assets.com/svg/4/7/7/348774.svg
,Warwick,2025-11-19,12:55,Warwick Supports Our Farmers Novices' Limited Handicap Chase (GBB Race),Class 3,16f,Soft,Turf,2,Excelero (FR),5,1,2.75,,Ciaran Gethings,Jane Williams,159,0,Took keen hold - made all - went clear approaching last - readily(op 15/8 tchd 2/1),04:07.3,https://www.rp-assets.com/svg/9/9/2/337299.svg
,Warwick,2025-11-19,12:55,Warwick Supports Our Farmers Novices' Limited Handicap Chase (GBB Race),Class 3,16f,Soft,Turf,3,Mister Cessna (FR),4,2,3,,Jonathan Burke,Fergal O'Brien,155,9.5,Raced in second - not fluent 1st - ridden after 3 out - lost ground approaching last - no chance with winner run-in(op 15/8 tchd 7/4),04:09.6,https://www.rp-assets.com/svg/5/9/1/353195.svg
,Warwick,2025-11-19,12:55,Warwick Supports Our Farmers Novices' Limited Handicap Chase (GBB Race),Class 3,16f,Soft,Turf,1,Spirits Bay (GB),7,3,2.62,,Sam Twiston-Davies,Nigel & Willy Twiston-Davies,164,28,Raced in third - bad mistake and lost ground 4th - not fluent 8th - soon struggling - no chance when stumbled after 2 out - tailed off(op 7/4 tchd 6/4),04:16.6,https://www.rp-assets.com/svg/6/6/4/324466.svg
,Warwick,2025-11-19,2:00,PricedUp Novices' Hurdle (GBB Race),Class 4,21f,Soft,Turf,3,Sogna In Grande (GB),5,1,8.5,,Tom Bellamy,Kim Bailey & Mat Nicholls,154,0,In touch with leaders - led after 3rd - jumped right 4th - not fluent 3 out - edged left but kept on run-in - always doing enough(op 12/1 tchd 7/1),05:13.9,https://www.rp-assets.com/svg/0/2/4/283420.svg
,Warwick,2025-11-19,2:00,PricedUp Novices' Hurdle (GBB Race),Class 4,21f,Soft,Turf,4,Dig Deep (IRE),4,2,1.83,,Ben Jones,Ben Pauling,153,0.75,Prominent - went second before 6th - pressed leader last - no extra towards finish(op 4/5 tchd 10/11),05:14.1,https://www.rp-assets.com/svg/0/9/6/363690.svg
,Warwick,2025-11-19,2:00,PricedUp Novices' Hurdle (GBB Race),Class 4,21f,Soft,Turf,6,Sallyville Lady (IRE),5,3,5,,Harry Skelton,Dan Skelton,147,0.5,In rear - headway before 7th - went third after 3 out - pressed leaders last - no extra inside final 110yds(op 3/1),05:14.2,https://www.rp-assets.com/svg/b/9/5/165159b.svg
,Warwick,2025-11-19,2:00,PricedUp Novices' Hurdle (GBB Race),Class 4,21f,Soft,Turf,1,Jackpot Cauveliere (FR),6,4,4.5,,Paul O'Brien,Harry Derham,154,14,In touch with leaders - outpaced after 3 out - weakened before last(op 9/2),05:17.7,https://www.rp-assets.com/svg/b/1/0/322001b.svg
,Warwick,2025-11-19,2:00,PricedUp Novices' Hurdle (GBB Race),Class 4,21f,Soft,Turf,5,Might As Well (IRE),4,F,41,,Sam Twiston-Davies,Henry Daly,153,-,In touch with leaders - dropped to rear before 7th - no impression when fell 2 out(op 33/1),-,https://www.rp-assets.com/svg/4/1/1/315114.svg
,Warwick,2025-11-19,2:00,PricedUp Novices' Hurdle (GBB Race),Class 4,21f,Soft,Turf,2,Paul Manate (FR),6,PU,51,,Tom Cannon,Toby Lawes,154,-,Led - prominent after 3rd - lost position and reminder before 6th - struggling 7th - tailed off when pulled up before 2 out(op 125/1),-,https://www.rp-assets.com/svg/9/6/0/239069.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,3,Chuggy (GB),5,1,2.1,,Harry Skelton,Dan Skelton,159,0,Pressed leader - led 4 out - clear 3 out - idled run-in - ridden out(tchd Evens),05:12.6,https://www.rp-assets.com/svg/1/5/6/249651.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,6,Another Folly (FR),6,2,4.5,,Ciaran Gethings,Jane Williams,158,8,Led but pestered - not fluent and headed 4 out - no chance with winner from 2 out - just held second(op 4/1),05:14.6,https://www.rp-assets.com/svg/9/2/1/350129.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,5,Thruthelookinglass (GB),8,3,7,,Tom Bellamy,Kim Bailey & Mat Nicholls,158,0.3,In touch with leaders - hit 5 out - went third 4 out - soon outpaced - no chance but kept on run-in(op 8/1),05:14.7,https://www.rp-assets.com/svg/b/3/2/146423b.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,1,Duhallow Tommy (IRE),7,4,12,,Tom Cannon,Toby Lawes,162,7,In touch with leaders - slightly hampered 1st - went third 8th - not fluent and lost third 4 out - weakened before 2 out(tchd 10/1),05:16.4,https://www.rp-assets.com/svg/6/9/2/355296.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,2,Icare Colombe (FR),7,5,19,,Jonathan Burke,Fergal O'Brien,160,20,In rear - struggling from 5 out - no chance when jumped right 2 out - tailed off(op 14/1 tchd 20/1),05:21.4,https://www.rp-assets.com/svg/0/3/0/351030.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,4,Dunskay (FR),6,F,8,,Ben Jones,Ben Pauling,158,-,In touch with leaders - jumped left and fell 1st(op 13/2 tchd 8/1),-,https://www.rp-assets.com/svg/b/3/7/256073b.svg
,Warwick,2025-11-19,2:35,Hazelton Mountford Insurance Handicap Chase (GBB Race),Class 4,20f,Soft,Turf,7,Mavis Pike (GB),6,UR,23,,Sam Twiston-Davies,Nigel & Willy Twiston-Davies,156,-,In rear - hampered and unseated 1st(op 12/1),-,https://www.rp-assets.com/svg/1/0/9/348901.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,7,Gwennie May Star (FR),5,1,4.33,,Lewis Saunders,Olly Murphy,153,0,In rear - pushed along and struggling 5 out - rallied after 3 out - not fluent 2 out - kept on well run-in - led final strides(tchd 11/4),06:21.0,https://www.rp-assets.com/svg/7/1/7/322717.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,5,Getaway Theatre (IRE),7,2,7.5,,Charlie Hammond,Stuart Edmunds,161,0.05,In touch with leaders - headway and went second last - kept on well and challenging towards finish - just held(op 7/1 tchd 8/1),06:21.0,https://www.rp-assets.com/svg/0/0/3/248300.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,8,Catch Catchfire (GB),6,3,8,,Charlie Todd,Ian Williams,157,0.3,Disputed lead - prominent before 2nd - led 4 out - 2 lengths ahead last - reduced lead final 110yds - no extra when headed then lost second final strides(op 16/1 tchd 6/1),06:21.1,https://www.rp-assets.com/svg/1/0/9/206901.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,3,I'm A Starman (GB),12,4,13,,Callum Pritchard,Mark Rimell,158,0.5,In touch with leaders - prominent 7th - led before 5 out - headed 4 out - lost two places last - kept on towards finish(op 14/1),06:21.2,https://www.rp-assets.com/svg/1/3/5/34531.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,4,Kiss My Face (GB),8,5,12,,Joe Anderson,Alastair Ralph,159,4.5,Didn't jump with fluency - towards rear - mistake 4th - some headway when mistake 3 out - weakened last (jockey said gelding jumped poorly)(op 7/1),06:22.3,https://www.rp-assets.com/svg/7/2/6/345627.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,6,Murphy's Milan (IRE),6,6,3.25,,Sean Houlihan,Philip Hobbs & Johnson White,159,2,Took keen hold - in rear - some headway before 2 out - weakening when not fluent last(tchd 85/40),06:22.8,https://www.rp-assets.com/svg/4/8/1/223184.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,9,Flash In The Pan (IRE),4,7,12,,Harry Kimber,Kathy Turner,144,15,In touch with leaders - headway 4 out - not fluent 3 out - weakened before 2 out(op 10/1),06:26.6,https://www.rp-assets.com/svg/9/1/8/15819.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,1,Sporting Ace (IRE),9,PU,23,,Jack Quinlan,Neil King,168,-,Disputed lead - led before 2nd - not fluent 6th - headed and reminders before 5 out - soon dropped to last and struggling - pulled up 3 out(op 20/1 tchd 18/1),-,https://www.rp-assets.com/svg/0/4/4/205440.svg
,Warwick,2025-11-19,3:10,Denis O'Connell Memorial Handicap Hurdle (Challenger Stayers Hurdle Series Qualifier),Class 4,25f,Soft,Turf,2,Thankyourluckystar (GB),9,PU,12,,Harry Skelton,Alastair Ralph,168,-,In rear - struggling 4 out - pulled up before 2 out (jockey said gelding was never travelling; vet examined gelding post-race and had nothing to report)(op 7/1),-,https://www.rp-assets.com/svg/9/4/0/90049.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,1,Kykorock (FR),5,1,8,,Harry Skelton,Dan Skelton,168,0,Took keen hold - in rear - not fluent 7th - smooth headway from 4 out - ridden run-in - kept on well and led towards finish(tchd 6/1 and 15/2),04:10.4,https://www.rp-assets.com/svg/5/7/1/361175.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,4,Bobbi's Beauty (IRE),7,2,11,,Sam Twiston-Davies,Martin Keighley,164,1.5,Led - headed then lost second before 2 out - rallied and led again last - kept on but headed towards finish(tchd 12/1),04:10.7,https://www.rp-assets.com/svg/2/2/6/364622.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,5,Superstylin (IRE),8,3,3.75,,Freddie Gordon,Chris Gordon,159,2,In touch with leaders - headway and led narrowly before 2 out - headed last - no extra when lost second inside final 110yds(op 5/2 tchd 9/4 and 3./1),04:11.2,https://www.rp-assets.com/svg/0/7/3/27370.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,2,Dromlac Jury (IRE),6,4,2.62,,Ben Poste,Tom Symonds,165,2.25,In touch with leaders - prominent 4th - challenging before 2 out - weakened run-in(op 7/4 tchd 15/8),04:11.8,https://www.rp-assets.com/svg/7/2/9/324927.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,3,King Of Brazil (GB),8,5,19,,Shane Quinlan,Katy Price,162,0.5,Prominent - in touch with leaders 4th - outpaced 2 out - rallied and kept on run-in(op 14/1),04:11.9,https://www.rp-assets.com/svg/2/0/9/302902.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,8,Chief O'Hara (IRE),5,6,23,,Richard Patrick,Matt Sheppard,146,1.25,Towards rear - mistake 3rd - outpaced 3 out - kept on run-in(op 28/1),04:12.2,https://www.rp-assets.com/svg/3/9/4/178493.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,7,Stick With Me Sam (FR),6,7,5,,Robert Dunne,Tom Gretton,155,3.25,In rear - no impression from 2 out(op 11/2),04:13.0,https://www.rp-assets.com/svg/3/1/3/338313.svg
,Warwick,2025-11-19,3:40,PricedUp Daily Sports Boosts Handicap Chase,Class 5,16f,Soft,Turf,6,Boom Boom (IRE),7,PU,51,,Charlie Hammond,Rob Summers,155,-,Took keen hold - towards rear - mistake 4th - hit 4 out - soon struggling - tailed off when pulled up 2 out(op 33/1),-,https://www.rp-assets.com/svg/b/7/8/1787b.svg
,,,,,,,,,,,,,,,,,,,,,
